Epoch [1/30], Train Loss: 0.1765, Train Accuracy: 0.4728, Test Loss: 0.1624, Test Accuracy: 0.4149
Epoch [2/30], Train Loss: 0.1506, Train Accuracy: 0.5547, Test Loss: 0.1644, Test Accuracy: 0.4747
Epoch [3/30], Train Loss: 0.1304, Train Accuracy: 0.6200, Test Loss: 0.1397, Test Accuracy: 0.5087
Epoch [4/30], Train Loss: 0.1241, Train Accuracy: 0.6363, Test Loss: 0.1487, Test Accuracy: 0.3858
Epoch [5/30], Train Loss: 0.1428, Train Accuracy: 0.5904, Test Loss: 0.1747, Test Accuracy: 0.3174
Epoch [6/30], Train Loss: 0.1381, Train Accuracy: 0.6048, Test Loss: 0.1571, Test Accuracy: 0.3999
Epoch [7/30], Train Loss: 0.1329, Train Accuracy: 0.6249, Test Loss: 0.1561, Test Accuracy: 0.4347
Epoch [8/30], Train Loss: 0.1239, Train Accuracy: 0.6506, Test Loss: 0.1568, Test Accuracy: 0.4143
Epoch [9/30], Train Loss: 0.1237, Train Accuracy: 0.6519, Test Loss: 0.1443, Test Accuracy: 0.4800
Epoch [10/30], Train Loss: 0.1224, Train Accuracy: 0.6597, Test Loss: 0.1430, Test Accuracy: 0.5164
Epoch [11/30], Train Loss: 0.1162, Train Accuracy: 0.6794, Test Loss: 0.1549, Test Accuracy: 0.3865
Epoch [12/30], Train Loss: 0.1325, Train Accuracy: 0.6298, Test Loss: 0.1863, Test Accuracy: 0.2684
Epoch [13/30], Train Loss: 0.1598, Train Accuracy: 0.5416, Test Loss: 0.1566, Test Accuracy: 0.4956
Epoch [14/30], Train Loss: 0.1343, Train Accuracy: 0.6314, Test Loss: 0.1560, Test Accuracy: 0.3571
Epoch [15/30], Train Loss: 0.1211, Train Accuracy: 0.6590, Test Loss: 0.1336, Test Accuracy: 0.5325
Epoch [16/30], Train Loss: 0.1259, Train Accuracy: 0.6319, Test Loss: 0.1615, Test Accuracy: 0.4685
Epoch [17/30], Train Loss: 0.1431, Train Accuracy: 0.5780, Test Loss: 0.1437, Test Accuracy: 0.5231
Epoch [18/30], Train Loss: 0.1209, Train Accuracy: 0.6347, Test Loss: 0.1138, Test Accuracy: 0.5645
Epoch [19/30], Train Loss: 0.1028, Train Accuracy: 0.6883, Test Loss: 0.1083, Test Accuracy: 0.5920
Epoch [20/30], Train Loss: 0.0838, Train Accuracy: 0.7314, Test Loss: 0.1081, Test Accuracy: 0.5439
Epoch [21/30], Train Loss: 0.0796, Train Accuracy: 0.7585, Test Loss: 0.1111, Test Accuracy: 0.5825
Epoch [22/30], Train Loss: 0.0703, Train Accuracy: 0.7938, Test Loss: 0.0839, Test Accuracy: 0.7025
Epoch [23/30], Train Loss: 0.0712, Train Accuracy: 0.7949, Test Loss: 0.0950, Test Accuracy: 0.6809
Epoch [24/30], Train Loss: 0.0687, Train Accuracy: 0.8094, Test Loss: 0.0893, Test Accuracy: 0.7437
Epoch [25/30], Train Loss: 0.0668, Train Accuracy: 0.8066, Test Loss: 0.1052, Test Accuracy: 0.7256
Epoch [26/30], Train Loss: 0.0641, Train Accuracy: 0.8200, Test Loss: 0.0738, Test Accuracy: 0.7952
Epoch [27/30], Train Loss: 0.0633, Train Accuracy: 0.8085, Test Loss: 0.0680, Test Accuracy: 0.8154
Epoch [28/30], Train Loss: 0.0599, Train Accuracy: 0.8134, Test Loss: 0.0749, Test Accuracy: 0.8041
Epoch [29/30], Train Loss: 0.0556, Train Accuracy: 0.8357, Test Loss: 0.0575, Test Accuracy: 0.8381
Epoch [30/30], Train Loss: 0.0489, Train Accuracy: 0.8563, Test Loss: 0.0577, Test Accuracy: 0.8273
